content_name,domain,weight,active,source_method,importance,contributesK,component_name,context_name
ps_python_list_of_remainders2,py,1,1,parser,1,1,_For_print_Assign_Int_If_List_Mod_Attribute_Eq,_For_print_Assign_Int_If_List_Mod_Attribute_Eq
ps_simple_function,py,1,1,parser,1,1,print__FunctionDef_Str,print__FunctionDef_Str
ps_python_bigger_than,py,1,1,parser,1,1,print_Assign_Int_Gt_Lt_Str,print_Assign_Int_Gt_Lt_Str
ps_python_linked_list_size,py,1,1,parser,1,1,Assign_Int_Add_FunctionDef_Attribute_Return_While_arg,Assign_Int_Add_FunctionDef_Attribute_Return_While_arg
ps_python_dict_values,py,1,1,parser,1,1,For__print_Assign_Int_Add_Str_Dict_Attribute_AugAssign,For__print_Assign_Int_Add_Str_Dict_Attribute_AugAssign
ps_python_addition,py,1,1,parser,1,1,print_Assign_Int_Add,print_Assign_Int_Add
ps_python_easy_power2,py,1,1,parser,1,1,print_Assign_Int_Add_If_Lt_Str_Or_And_LtE_AugAssign_Eq_Mult_While,print_Assign_Int_Add_If_Lt_Str_Or_And_LtE_AugAssign_Eq_Mult_While
ps_python_divisible_by2,py,1,1,parser,1,1,For__print_Assign_Int_Add_If_Mod_Str_And_Eq,For__print_Assign_Int_Add_If_Mod_Str_And_Eq
ps_python_add_to_list_2,py,1,1,parser,1,1,For__Assign_Int_Add_FunctionDef_Attribute_Return_arg,For__Assign_Int_Add_FunctionDef_Attribute_Return_arg
ps_python_linked_list_traversal,py,1,1,parser,1,1,print_Assign_FunctionDef_arg_Str_Attribute_keyword_While,print_Assign_FunctionDef_arg_Str_Attribute_keyword_While
ps_python_find_and_square3,py,1,1,parser,1,1,For__Assign_Int_If_FunctionDef_List_Mod_Attribute_Eq_Return_Mult_arg,For__Assign_Int_If_FunctionDef_List_Mod_Attribute_Eq_Return_Mult_arg
ps_python_list_reverse3,py,1,1,parser,1,1,_print_Assign_Int_Sub_Add_FunctionDef_List_Lt_AugAssign_Return_While_Mult_arg,_print_Assign_Int_Sub_Add_FunctionDef_List_Lt_AugAssign_Return_While_Mult_arg
ps_python_power_with_loops2,py,1,1,parser,1,1,print_For__Assign_Int_Add_If_AugAssign_Eq,print_For__Assign_Int_Add_If_AugAssign_Eq
ps_python_quick_sorting,py,1,1,parser,1,1,_Assign_Int_Sub_Add_If_FunctionDef_arg_Lt_Return_Pass,_Assign_Int_Sub_Add_If_FunctionDef_arg_Lt_Return_Pass
ps_python_recursive_factorial,py,1,1,parser,1,1,_Int_Sub_If_FunctionDef_Lt_Return_Mult_arg,_Int_Sub_If_FunctionDef_Lt_Return_Mult_arg
ps_python_try_except,py,1,1,parser,1,1,_print_Assign_Int_Add_If_FunctionDef_ExceptHandler_USub_Lt_Raise_Str_Try_Float_Return_Mult_arg,_print_Assign_Int_Add_If_FunctionDef_ExceptHandler_USub_Lt_Raise_Str_Try_Float_Return_Mult_arg
ps_python_divsible_by1,py,1,1,parser,1,1,For__print_Int_Add_If_FunctionDef_Mod_Str_And_Eq_arg,For__print_Int_Add_If_FunctionDef_Mod_Str_And_Eq_arg
ps_python_list_reverse7,py,1,1,parser,1,1,_For_print_Assign_Int_Sub_FunctionDef_List_Return_Mult_arg,_For_print_Assign_Int_Sub_FunctionDef_List_Return_Mult_arg
ps_python_nested_loops,py,1,1,parser,1,1,print_Assign_Int_Add_Sub_Gt_Lt_While,print_Assign_Int_Add_Sub_Gt_Lt_While
ps_python_3digit_combinations,py,1,1,parser,1,1,print_Assign_Int_Add_If_NotEq_Lt_Str_And_AugAssign_While,print_Assign_Int_Add_If_NotEq_Lt_Str_And_AugAssign_While
ps_python_find_and_square6,py,1,1,parser,1,1,For__print_Assign_Int_If_List_Mod_Attribute_Eq_Mult,For__print_Assign_Int_If_List_Mod_Attribute_Eq_Mult
ps_python_xor,py,1,1,parser,1,1,_print_Assign_Int_If_input_And_Eq,_print_Assign_Int_If_input_And_Eq
ps_python_list_reverse6,py,1,1,parser,1,1,_For_print_Assign_Int_Sub_List_Mult,_For_print_Assign_Int_Sub_List_Mult
ps_python_divisible_by3,py,1,1,parser,1,1,For__print_Assign_Int_Add_If_List_Mod_Str_And_Attribute_Eq,For__print_Assign_Int_Add_If_List_Mod_Str_And_Attribute_Eq
ps_python_fast_power1,py,1,1,parser,1,1,FloorDiv_print_Assign_Int_Sub_If_Gt_Mod_Eq_Mult_While,FloorDiv_print_Assign_Int_Sub_If_Gt_Mod_Eq_Mult_While
ps_python_print_specific_element,py,1,1,parser,1,1,print_Assign_Int_List_Str_Dict,print_Assign_Int_List_Str_Dict
ps_python_add_to_list,py,1,1,parser,1,1,For__Add_FunctionDef_AugAssign_arg,For__Add_FunctionDef_AugAssign_arg
ps_python_find_and_square2,py,1,1,parser,1,1,_print_Assign_Int_Add_If_List_Lt_Mod_Attribute_AugAssign_Eq_Mult_While,_print_Assign_Int_Add_If_List_Lt_Mod_Attribute_AugAssign_Eq_Mult_While
ps_python_list_reverse2,py,1,1,parser,1,1,_print_Assign_Int_Add_List_Lt_Attribute_AugAssign_While,_print_Assign_Int_Add_List_Lt_Attribute_AugAssign_While
ps_python_printing_file_contents,py,1,1,parser,1,1,_print_Assign_ExceptHandler_NotEq_Str_Try_Attribute_While,_print_Assign_ExceptHandler_NotEq_Str_Try_Attribute_While
ps_python_swap,py,1,1,parser,1,1,Assign_Int,Assign_Int
ps_python_find_and_square5,py,1,1,parser,1,1,For__print_Assign_Int_If_List_Mod_Attribute_Eq_Mult,For__print_Assign_Int_If_List_Mod_Attribute_Eq_Mult
ps_python_comparisons,py,1,1,parser,1,1,print_Assign_Int_Gt,print_Assign_Int_Gt
ps_python_list_reverse5,py,1,1,parser,1,1,_For_print_Assign_Int_Sub_FunctionDef_List_Return_Mult_arg,_For_print_Assign_Int_Sub_FunctionDef_List_Return_Mult_arg
ps_python_data_type,py,1,1,parser,1,1,print__Assign_Mod_Tuple_Float,print__Assign_Mod_Tuple_Float
ps_python_iteration_multiplication,py,1,1,parser,1,1,print_Assign_Int_Lt_Str_Mult_While,print_Assign_Int_Lt_Str_Mult_While
ps_python_nested_loop_2,py,1,1,parser,1,1,For__print_Assign_Int_Add_Lt_Str_AugAssign_keyword_Mult_While,For__print_Assign_Int_Add_Lt_Str_AugAssign_keyword_Mult_While
ps_python_search_min_index,py,1,1,parser,1,1,For__print_Assign_Int_If_List_Lt,For__print_Assign_Int_If_List_Lt
ps_python_fast_power2,py,1,1,parser,1,1,FloorDiv_Assign_Int_Sub_If_FunctionDef_Gt_Mod_Float_Eq_While_Return_Mult_arg,FloorDiv_Assign_Int_Sub_If_FunctionDef_Gt_Mod_Float_Eq_While_Return_Mult_arg
ps_python_find_and_square1,py,1,1,parser,1,1,_Assign_Int_Add_If_FunctionDef_List_Lt_Mod_Attribute_AugAssign_Eq_While_Return_Mult_arg,_Assign_Int_Add_If_FunctionDef_List_Lt_Mod_Attribute_AugAssign_Eq_While_Return_Mult_arg
ps_python_remove_dublicates2,py,1,1,parser,1,1,For__print_Assign_Int_If_List_Str_NotIn_Attribute,For__print_Assign_Int_If_List_Str_NotIn_Attribute
ps_python_list_reverse1,py,1,1,parser,1,1,_print_Assign_Int_Add_FunctionDef_List_Lt_Attribute_AugAssign_Return_While_arg,_print_Assign_Int_Add_FunctionDef_List_Lt_Attribute_AugAssign_Return_While_arg
ps_python_class_point,py,1,1,parser,1,1,alias_ImportFrom__Assign_ClassDef_Sub_Add_FunctionDef_Attribute_Return_Mult_arg,alias_ImportFrom__Assign_ClassDef_Sub_Add_FunctionDef_Attribute_Return_Mult_arg
ps_python_easy_power1,py,1,1,parser,1,1,_print_Assign_Int_Add_FunctionDef_Lt_AugAssign_Return_While_Mult_arg,_print_Assign_Int_Add_FunctionDef_Lt_AugAssign_Return_While_Mult_arg
ps_python_stack,py,1,1,parser,1,1,_print_Int_If_FunctionDef_Str_Attribute_Return_arg,_print_Int_If_FunctionDef_Str_Attribute_Return_arg
ps_python_3digit_combinations2,py,1,1,parser,1,1,print_Assign_Int_Add_If_NotEq_Lt_Str_And_AugAssign_While,print_Assign_Int_Add_If_NotEq_Lt_Str_And_AugAssign_While
ps_python_conditionals_temperature,py,1,1,parser,1,1,print_Assign_Int_If_Lt_Str,print_Assign_Int_If_Lt_Str
ps_python_nested_whiles,py,1,1,parser,1,1,print_Assign_Int_Add_Sub_Lt_Gt_Str_keyword_While,print_Assign_Int_Add_Sub_Lt_Gt_Str_keyword_While
ps_python_power_with_loops1,py,1,1,parser,1,1,For__Assign_Int_Add_If_FunctionDef_AugAssign_Eq_Return_arg,For__Assign_Int_Add_If_FunctionDef_AugAssign_Eq_Return_arg
ps_python_find_and_square4,py,1,1,parser,1,1,For__Assign_Int_If_FunctionDef_List_Mod_Attribute_Eq_Return_Mult_arg,For__Assign_Int_If_FunctionDef_List_Mod_Attribute_Eq_Return_Mult_arg
ps_python_list_reverse4,py,1,1,parser,1,1,_print_Assign_Int_Sub_Add_List_Lt_AugAssign_Mult_While,_print_Assign_Int_Sub_Add_List_Lt_AugAssign_Mult_While
ps_python_tree_preorder_traversal,py,1,1,parser,1,1,_Assign_Add_If_FunctionDef_List_Attribute_Return_arg,_Assign_Add_If_FunctionDef_List_Attribute_Return_arg
ps_return_bigger_or_none,py,1,1,parser,1,1,Pass_If_FunctionDef_Gt_Lt_Nonetype_Return_arg,Pass_If_FunctionDef_Gt_Lt_Nonetype_Return_arg
ps_python_even_first3,py,1,1,parser,1,1,For__Assign_Int_If_FunctionDef_List_Mod_Attribute_Eq_Return_arg,For__Assign_Int_If_FunctionDef_List_Mod_Attribute_Eq_Return_arg
ps_python_file_reading_third_element,py,1,1,parser,1,1,_For_print_Assign_Int_Add_ExceptHandler_Str_Try_Attribute_AugAssign,_For_print_Assign_Int_Add_ExceptHandler_Str_Try_Attribute_AugAssign
ps_python_string_indexing,py,1,1,parser,1,1,print_Assign_Int_Slice_USub_Str,print_Assign_Int_Slice_USub_Str
ps_python_sum_of_two2,py,1,1,parser,1,1,print_Assign_Int_Add_If_Str_And_Eq,print_Assign_Int_Add_If_Str_And_Eq
ps_python_calculate_function,py,1,1,parser,1,1,_print_Assign_Int_Add_FunctionDef_Return_Mult_arg,_print_Assign_Int_Add_FunctionDef_Return_Mult_arg
ps_python_palindrome2,py,1,1,parser,1,1,_For_print_Assign_Add_If_Str_Attribute_Eq,_For_print_Assign_Add_If_Str_Attribute_Eq
ps_python_class_person,py,1,1,parser,1,1,_print_Assign_ClassDef_Add_FunctionDef_Str_Attribute_Return_arg,_print_Assign_ClassDef_Add_FunctionDef_Str_Attribute_Return_arg
ps_python_freq_of_char1,py,1,1,parser,1,1,For_Assign_Int_Add_If_FunctionDef_In_Dict_AugAssign_Return_arg,For_Assign_Int_Add_If_FunctionDef_In_Dict_AugAssign_Return_arg
ps_python_nested_lists_indexing,py,1,1,parser,1,1,print_Assign_List_Int,print_Assign_List_Int
ps_python_merge_sort,py,1,1,parser,1,1,_FloorDiv_Assign_Int_Slice_If_FunctionDef_arg_LtE_Return_Pass,_FloorDiv_Assign_Int_Slice_If_FunctionDef_arg_LtE_Return_Pass
ps_python_list_of_remainders1,py,1,1,parser,1,1,_For_print_Assign_Int_If_FunctionDef_List_Mod_Attribute_Eq_Return_arg,_For_print_Assign_Int_If_FunctionDef_List_Mod_Attribute_Eq_Return_arg
ps_python_dict_filter,py,1,1,parser,1,1,For__print_Assign_Int_If_Gt_Str_Dict_Attribute,For__print_Assign_Int_If_Gt_Str_Dict_Attribute
ps_python_class_inheritance,py,1,1,parser,1,1,_Assign_ClassDef_FunctionDef_Attribute_Return_arg,_Assign_ClassDef_FunctionDef_Attribute_Return_arg
ps_python_palindrome3,py,1,1,parser,1,1,_For_Assign_Add_If_FunctionDef_Str_Attribute_Bool_Eq_Return_arg,_For_Assign_Add_If_FunctionDef_Str_Attribute_Bool_Eq_Return_arg
ps_python_search_min_max_index,py,1,1,parser,1,1,For__print_Assign_Int_If_List_Lt_Gt,For__print_Assign_Int_If_List_Lt_Gt
ps_python_string_join,py,1,1,parser,1,1,_print_Assign_Add_List_Str_Attribute,_print_Assign_Add_List_Str_Attribute
ps_python_even_first2,py,1,1,parser,1,1,_Assign_Int_Sub_Add_If_FunctionDef_NotEq_Lt_Mod_And_AugAssign_Eq_While_Return_arg,_Assign_Int_Sub_Add_If_FunctionDef_NotEq_Lt_Mod_And_AugAssign_Eq_While_Return_arg
ps_python_2d_list,py,1,1,parser,1,1,For__print_Assign_Int_Add_List_Attribute_Mult,For__print_Assign_Int_Add_List_Attribute_Mult
ps_python_list_to_dict,py,1,1,parser,1,1,dict_print__Assign_List_Str_Attribute_Tuple,dict_print__Assign_List_Str_Attribute_Tuple
ps_python_dict_keys,py,1,1,parser,1,1,For_print_Assign_Int_If_Gt_Str_Dict,For_print_Assign_Int_If_Gt_Str_Dict
ps_hello,py,1,1,parser,1,1,print_Str,print_Str
ps_python_math_library,py,1,1,parser,1,1,alias_print__Assign_Attribute_Is_Import,alias_print__Assign_Attribute_Is_Import
